% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
225,316,88,-42.388,-30.9589,-1.37828,0.0491967,0.221247,0.966925,0.116983,-44.2921,-30.6868,-1.48455,-0.148419,-0.043795,-0.0426208,0.987035
228,453,73,-45.277,-30.4219,-1.4672,0.0395198,0.242961,0.960386,0.13064,-46.9144,-30.0928,-1.7946,-0.169121,-0.108492,-0.14919,0.968179
386,453,10,-46.5159,-29.7474,-1.90087,-0.171723,-0.0359554,-0.0748863,0.981637,-46.9144,-30.0928,-1.7946,-0.169121,-0.108492,-0.14919,0.968179
71,337,189,-42.8128,-43.0618,2.44091,-0.0573998,0.0837737,-0.096585,0.990131,-41.7791,-42.5236,2.22809,-0.0999752,-0.0563945,-0.780609,0.614389
252,303,135,-48.86,-36.9069,0.738778,-0.118216,-0.0463808,-0.0822025,0.988492,-48.6527,-37.797,0.977516,-0.0755248,0.0508654,0.583765,0.806801
357,421,25,-50.4973,-44.7688,2.8846,0.00836101,0.123381,0.981115,0.148733,-51.0834,-44.7503,2.74658,-0.0192729,0.158277,0.982862,0.092517
151,207,73,-37.9695,-39.4903,0.926863,0.00503781,0.198439,0.614643,0.76342,-38.4907,-39.2304,0.863118,-0.00264269,0.146045,0.486629,0.861311
179,243,9,-52.3132,-33.4565,-0.747124,-0.0250823,-0.244723,-0.797121,0.551435,-52.1488,-33.4393,-0.803546,-0.0769297,-0.204642,-0.748174,0.62645
9,145,12,-39.3003,-42.2757,1.85039,-0.0753159,0.196744,0.581374,0.785891,-39.4018,-42.2908,1.63706,-0.0984014,0.162257,0.358636,0.913986
13,204,50,-38.5859,-40.2152,1.59084,-0.0984386,0.168263,0.550096,0.812029,-39.0566,-40.0065,1.17586,-0.116607,0.177942,0.372965,0.903126
348,481,51,-44.1895,-45.8613,2.77329,0.000462819,0.141624,0.985942,-0.0886607,-45.8657,-45.5296,3.07992,-0.0365879,-0.0699662,-0.199442,0.976724
88,152,27,-37.7292,-38.2924,0.461762,0.00656685,0.181758,0.642823,0.74411,-37.7967,-38.7465,0.662925,-0.0254663,0.198405,0.632515,0.748273
85,151,326,-37.9199,-39.6666,0.925855,-0.0293865,0.217837,0.63109,0.743915,-37.9695,-39.4903,0.926863,0.00503781,0.198439,0.614643,0.76342
178,243,20,-52.0782,-33.1328,-0.935965,-0.0172683,-0.224848,-0.827176,0.514708,-52.1488,-33.4393,-0.803546,-0.0769297,-0.204642,-0.748174,0.62645
176,241,112,-51.6276,-32.3752,-1.24594,0.0580145,0.223599,0.852777,-0.468412,-51.7748,-31.8186,-1.31722,-0.0969672,-0.243623,-0.743524,0.615156
41,116,74,-53.3374,-36.3967,0.321497,-0.0596798,-0.220705,-0.779255,0.583515,-52.8982,-36.029,0.308005,-0.0558351,-0.214535,-0.753662,0.618749
8,145,110,-39.4351,-42.6822,1.92542,-0.0676583,0.167879,0.57357,0.79891,-39.4018,-42.2908,1.63706,-0.0984014,0.162257,0.358636,0.913986
77,271,148,-39.2913,-43.452,1.85912,-0.0351103,0.146821,0.454582,0.877819,-38.8271,-41.7332,1.52347,-0.146765,-0.0591819,-0.757229,0.633689
143,271,11,-40.4207,-42.5142,1.77253,-8.69446e-05,0.0863453,0.179593,0.979944,-38.8271,-41.7332,1.52347,-0.146765,-0.0591819,-0.757229,0.633689
41,438,85,-53.3374,-36.3967,0.321497,-0.0596798,-0.220705,-0.779255,0.583515,-54.0221,-37.4079,0.662827,-0.125252,0.0290145,0.594446,0.793791
178,242,73,-52.0782,-33.1328,-0.935965,-0.0172683,-0.224848,-0.827176,0.514708,-51.9781,-32.7144,-1.0953,-0.0951481,-0.237031,-0.758483,0.599555
144,272,11,-40.1174,-42.555,1.74945,0.0308208,0.135567,0.264684,0.954261,-38.8305,-42.04,1.53509,-0.128442,-0.0847454,-0.772825,0.61568
113,244,192,-52.3732,-34.4884,-0.291985,-0.0808043,-0.285264,-0.806534,0.511466,-52.3086,-34.3111,-0.429387,-0.091313,-0.169559,-0.705132,0.682423
41,181,11,-53.3374,-36.3967,0.321497,-0.0596798,-0.220705,-0.779255,0.583515,-53.1627,-36.2019,0.0669854,-0.102935,-0.132012,-0.613335,0.771879
83,149,96,-38.0369,-40.5897,1.27448,-0.0076179,0.201719,0.624993,0.754079,-38.2084,-40.5481,1.19898,0.00149832,0.131186,0.57337,0.808724
6,143,118,-39.5975,-43.1203,1.94968,-0.00106487,0.148593,0.584708,0.797518,-40.4207,-42.5142,1.77253,-8.69446e-05,0.0863453,0.179593,0.979944
353,416,50,-47.2809,-45.7473,2.96806,0.00467646,0.134611,0.983869,0.117731,-47.0252,-45.1518,2.96163,-0.00226029,0.174177,0.98293,-0.0592099
359,422,71,-51.3142,-44.5246,2.70763,-0.00674527,0.130176,0.968146,0.213779,-51.7521,-44.6614,2.63394,-0.0154506,0.148293,0.983471,0.102737
87,208,188,-37.8932,-39.044,0.685477,-0.00676033,0.167043,0.630736,0.757775,-38.1263,-38.6668,0.727223,0.00837951,0.150158,0.529045,0.835161
14,205,136,-38.3933,-39.815,1.45001,-0.107283,0.119724,0.631635,0.758415,-38.8313,-39.7798,1.0881,-0.0954253,0.114595,0.426899,0.891919
39,180,289,-52.9235,-35.4462,-0.0788471,-0.0555209,-0.232486,-0.825076,0.511974,-52.9401,-35.013,-0.106119,-0.0587177,-0.212736,-0.747349,0.62671
37,180,7,-52.1722,-34.867,-0.384805,0.00334002,0.209064,0.919784,-0.332081,-52.9401,-35.013,-0.106119,-0.0587177,-0.212736,-0.747349,0.62671
40,116,143,-53.0723,-35.8243,0.0372042,-0.0818771,-0.236257,-0.7805,0.572973,-52.8982,-36.029,0.308005,-0.0558351,-0.214535,-0.753662,0.618749
42,118,47,-53.4235,-36.6154,0.3906,-0.0739192,-0.205385,-0.762171,0.609465,-52.8894,-36.5266,0.316195,-0.0259269,-0.202162,-0.743811,0.636555
43,118,13,-53.5568,-37.0597,0.499123,-0.0757955,-0.223977,-0.739955,0.629727,-52.8894,-36.5266,0.316195,-0.0259269,-0.202162,-0.743811,0.636555
41,118,41,-53.3374,-36.3967,0.321497,-0.0596798,-0.220705,-0.779255,0.583515,-52.8894,-36.5266,0.316195,-0.0259269,-0.202162,-0.743811,0.636555
38,440,21,-52.7005,-35.2512,-0.247365,0.0216212,0.230504,0.853712,-0.466451,-53.5602,-35.839,0.0890166,-0.130481,0.0452711,0.573645,0.807377
42,437,91,-53.4235,-36.6154,0.3906,-0.0739192,-0.205385,-0.762171,0.609465,-54.2689,-37.9195,0.751522,-0.120538,0.0412338,0.584539,0.801302
172,379,128,-48.8653,-31.7174,-0.957384,-0.0231473,0.228455,0.965911,0.119536,-49.4781,-31.8265,-1.02518,-0.122504,0.0911485,0.63194,0.759827
107,377,181,-49.214,-33.2146,-0.131098,0.00628441,0.204634,0.967402,0.149057,-50.0337,-33.5644,-0.193434,-0.131815,0.0729674,0.600763,0.785101
138,336,114,-42.7039,-41.7224,1.88658,-0.0615909,0.0679788,-0.104035,0.990334,-41.5488,-41.3291,2.00149,-0.125195,-0.081882,-0.749735,0.644608
358,421,205,-50.7599,-44.73,2.7887,0.00500703,0.123902,0.980282,0.153851,-51.0834,-44.7503,2.74658,-0.0192729,0.158277,0.982862,0.092517
226,315,477,-43.3806,-30.8839,-1.45738,0.00716656,0.230337,0.967382,0.105189,-44.8802,-30.801,-1.62612,-0.149456,-0.000821891,0.0763818,0.985813
227,314,205,-44.0122,-30.7529,-1.45157,-0.00872207,0.256896,0.958534,0.123046,-45.264,-30.9192,-1.60085,-0.1705,0.0249971,0.123936,0.977213
102,307,491,-46.2225,-33.9531,-0.208146,-0.00855583,0.209996,0.970395,0.119003,-47.2552,-34.2797,0.0291888,-0.145004,0.095664,0.599077,0.781619
224,317,243,-41.9789,-31.0805,-1.40457,0.0591493,0.237759,0.96394,0.103878,-43.531,-30.7895,-1.49547,-0.185081,-0.0079705,-0.0817368,0.979286
29,305,110,-46.8846,-35.2871,0.601125,-0.0164517,0.207162,0.966437,0.151041,-47.7146,-36.0418,0.544748,-0.0953887,0.0593158,0.606261,0.787293
6,271,76,-39.5975,-43.1203,1.94968,-0.00106487,0.148593,0.584708,0.797518,-38.8271,-41.7332,1.52347,-0.146765,-0.0591819,-0.757229,0.633689
111,242,20,-51.251,-33.5574,-0.808014,-0.0977145,0.244681,0.925285,-0.27282,-51.9781,-32.7144,-1.0953,-0.0951481,-0.237031,-0.758483,0.599555
6,272,58,-39.5975,-43.1203,1.94968,-0.00106487,0.148593,0.584708,0.797518,-38.8305,-42.04,1.53509,-0.128442,-0.0847454,-0.772825,0.61568
85,207,5,-37.9199,-39.6666,0.925855,-0.0293865,0.217837,0.63109,0.743915,-38.4907,-39.2304,0.863118,-0.00264269,0.146045,0.486629,0.861311
129,298,83,-50.0723,-40.4024,1.55446,-0.0726645,-0.0624394,-0.105913,0.989749,-49.6463,-41.8702,2.04513,-0.0630462,0.0951713,0.643406,0.756965
316,389,108,-44.2921,-30.6868,-1.48455,-0.148419,-0.043795,-0.0426208,0.987035,-44.4993,-30.2683,-1.69864,-0.169774,-0.0359138,-0.131765,0.975974
230,383,153,-46.6033,-30.0646,-1.51562,0.0271972,0.236615,0.96538,0.10637,-48.3444,-29.9802,-1.87227,-0.146443,-0.0156585,0.180117,0.972557
247,372,120,-51.4655,-36.0034,0.2787,-0.148926,-0.136905,-0.248441,0.947288,-51.2123,-36.9472,0.633716,-0.0464277,0.0339893,0.588133,0.806715
287,351,183,-45.8182,-45.5906,3.0721,0.0137362,0.100522,0.990349,0.0944235,-45.8592,-45.9087,2.95784,0.0350028,0.105984,0.991349,0.069056
221,321,58,-39.6203,-31.7422,-1.33395,0.0894465,0.218781,0.956079,0.173342,-40.8416,-31.7228,-1.42925,-0.121253,-0.00870618,-0.35602,0.926538
114,180,9,-52.6924,-35.237,0.130643,-0.0735905,-0.228744,-0.760945,0.60268,-52.9401,-35.013,-0.106119,-0.0587177,-0.212736,-0.747349,0.62671
313,455,299,-46.0857,-31.076,-1.49698,-0.168344,0.0601201,0.276,0.944388,-46.2565,-30.4611,-1.56863,-0.170812,-0.0784026,-0.143422,0.971651
381,449,177,-49.2462,-30.7109,-1.56614,-0.170255,0.051202,0.434283,0.883057,-49.3648,-29.8282,-1.94041,-0.122199,-0.118708,-0.00784143,0.98535
240,443,13,-51.4421,-31.1832,-1.53303,-0.0467802,-0.261293,-0.803345,0.53308,-52.1215,-31.8898,-1.39275,-0.210612,0.0860489,0.602195,0.765245
179,441,61,-52.3132,-33.4565,-0.747124,-0.0250823,-0.244723,-0.797121,0.551435,-53.2791,-35.2525,-0.0730488,-0.144862,0.0573509,0.573166,0.804492
191,468,121,-47.097,-38.9152,1.45501,-0.0732328,-0.0586268,-0.0482179,0.994422,-45.8513,-38.5268,1.49487,-0.0859253,-0.142517,-0.777679,0.606235
229,452,98,-46.0772,-30.1574,-1.46974,0.0162834,0.251672,0.959281,0.127184,-47.5189,-30.173,-1.9786,-0.149767,-0.100835,-0.0867428,0.979734
230,451,184,-46.6033,-30.0646,-1.51562,0.0271972,0.236615,0.96538,0.10637,-48.2935,-29.871,-1.84588,-0.202169,-0.0585547,-0.0964277,0.972831
194,402,116,-44.6498,-39.2148,1.50066,-0.0825113,0.0154374,-0.0994197,0.991499,-43.3311,-38.7382,1.17815,-0.10615,-0.141311,-0.786146,0.592231
164,394,68,-41.1159,-33.4043,-0.726287,-0.0121679,0.219691,0.967616,0.123717,-42.365,-31.8137,-1.36135,-0.136269,-0.078749,-0.60405,0.781251
315,389,31,-44.8802,-30.801,-1.62612,-0.149456,-0.000821891,0.0763818,0.985813,-44.4993,-30.2683,-1.69864,-0.169774,-0.0359138,-0.131765,0.975974
26,464,176,-44.5166,-35.7416,0.593444,0.030371,0.195941,0.96974,0.142437,-44.8732,-35.142,0.20643,-0.106709,-0.184757,-0.776087,0.593436
