%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1474475464563140345,1276,1474475464649420126,/gps,1,1,39.7178383333,2.58665833333,43.8,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475465540973846,1277,1474475465628570529,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475466522305905,1278,1474475466604654057,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475467520670033,1279,1474475467609132460,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475468564135572,1280,1474475468652146190,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475469549090809,1281,1474475469628501983,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475470556380608,1282,1474475470640040791,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475471509677349,1283,1474475471596408545,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475472512233474,1284,1474475472597381936,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475473499589036,1285,1474475473587091889,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475474503272140,1286,1474475474580422069,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475475508663010,1287,1474475475590215438,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475476544083582,1288,1474475476632704137,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475477560764890,1289,1474475477649531387,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475478491849000,1290,1474475478573619476,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475479548695597,1291,1474475479638915881,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475480543703952,1292,1474475480631725040,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475481538953083,1293,1474475481630783344,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475482500729625,1294,1474475482579950573,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475483547733047,1295,1474475483633273359,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475484567201045,1296,1474475484654006719,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475485546613573,1297,1474475485636377497,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475486552774254,1298,1474475486637691554,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475487508535204,1299,1474475487596182663,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475488500213332,1300,1474475488586617339,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
1474475489537860545,1301,1474475489630257857,/gps,1,1,39.7178383333,2.58665833333,43.7,0.7225,0.0,0.0,0.0,0.7225,0.0,0.0,0.0,2.89,1
