% frame a, frame b, inliers, ax, ay, az, aqx, aqy, aqz, aqw, bx, by, bz, bqx, bqy, bqz, bqw
219,336,69,-51.9098,-36.1587,-0.784495,-0.172338,-0.113559,-0.247611,0.946622,-51.5527,-37.5276,-0.27732,-0.0910473,0.0441651,0.605972,0.789023
258,314,60,-44.0287,-46.1165,2.69582,0.0153588,0.161826,0.984182,0.0704397,-43.8195,-45.7891,2.63409,-0.0155205,0.117177,0.992754,-0.0216551
97,156,34,-53.1132,-35.7705,-0.798155,-0.12162,-0.22434,-0.755858,0.602959,-53.4438,-35.8873,-0.953672,-0.0782627,-0.212046,-0.715705,0.660816
96,155,315,-52.874,-34.8882,-1.2908,-0.135939,-0.29919,-0.77302,0.542629,-53.1915,-34.6671,-1.38279,-0.115082,-0.268561,-0.751476,0.591536
94,152,38,-51.3194,-33.7428,-1.99524,-0.0530088,0.282873,0.924435,-0.250184,-52.3644,-33.6034,-2.19066,0.0613424,0.289677,0.829168,-0.474136
71,126,97,-38.0425,-40.9394,0.712934,-0.0728963,0.202061,0.6355,0.741618,-38.1908,-40.7606,0.488002,-0.0717981,0.132409,0.581754,0.799297
37,217,9,-52.6383,-35.1548,-1.42621,0.0401864,0.231472,0.912474,-0.334958,-52.7819,-34.5441,-1.54352,-0.109539,-0.161484,-0.666373,0.719633
203,345,61,-48.0568,-30.3799,-3.14381,-0.0232285,0.304983,0.943771,0.125468,-49.3441,-31.2331,-3.17861,-0.287453,0.0391159,0.375484,0.880257
90,341,60,-49.3918,-33.4879,-1.44066,0.0158274,0.249003,0.958674,0.136716,-50.4482,-34.3129,-1.25094,-0.162727,0.0999282,0.614668,0.765322
36,95,223,-52.2501,-34.8861,-1.54423,0.014374,0.255389,0.91755,-0.304419,-52.3188,-34.5432,-1.80919,0.0569491,0.326722,0.8325,-0.443794
70,124,50,-38.1042,-41.3494,0.882131,-0.0571268,0.177065,0.638056,0.747174,-38.537,-41.2752,0.727286,-0.0755286,0.178097,0.502962,0.842381
71,124,19,-38.0425,-40.9394,0.712934,-0.0728963,0.202061,0.6355,0.741618,-38.537,-41.2752,0.727286,-0.0755286,0.178097,0.502962,0.842381
