%time,field.header.seq,field.header.stamp,field.header.frame_id,field.header_dvl,field.date,field.salinity,field.temperature,field.depth,field.sound_speed,field.test,field.wi_x_axis,field.wi_y_axis,field.wi_z_axis,field.wi_error,field.wi_status,field.bi_x_axis,field.bi_y_axis,field.bi_z_axis,field.bi_error,field.bi_status,field.ws_transverse,field.ws_longitudinal,field.ws_normal,field.ws_status,field.bs_transverse,field.bs_longitudinal,field.bs_normal,field.bs_status,field.we_east,field.we_north,field.we_upwards,field.we_status,field.be_east,field.be_north,field.be_upwards,field.be_status,field.wd_east,field.wd_north,field.wd_upwards,field.wd_range,field.wd_time,field.bd_east,field.bd_north,field.bd_upwards,field.bd_range,field.bd_time,field.raw_data
1475331493254518985,2211,1475331493260766029,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.211885915531,0.161761914992,-0.00638689624985,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.852763176,0.0,
1475331493456125091,2212,1475331493460197925,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.160141623792,0.235446984201,-0.00261097065045,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8543863297,0.0,
1475331493657435499,2213,1475331493660221099,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.193605946845,0.204817566368,-0.0584342866868,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8532447815,0.0,
1475331493858756348,2214,1475331493860567092,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.22713842718,0.167697239431,-0.00147986757039,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8515481949,0.0,
1475331494059998734,2215,1475331494060285091,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.212198193122,0.189954100332,-0.0249289941274,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8485736847,0.0,
1475331494251237032,2216,1475331494260278940,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.154274824821,0.150415821594,0.0242080103739,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8454875946,0.0,
1475331494463075804,2217,1475331494460848093,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.146679095588,0.163902757826,0.0562812582611,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8474998474,0.0,
1475331494654393958,2218,1475331494660232067,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.175746730469,0.160104391082,-0.0126624330367,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8494100571,0.0,
1475331494855616024,2219,1475331494860567092,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.184917489646,0.208049572777,0.0540278593123,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8527889252,0.0,
1475331495056919627,2220,1475331495060462951,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.232661324242,0.208103407003,0.0183997550204,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.860373497,0.0,
1475331495258181790,2221,1475331495260721921,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.244586560194,0.124720115367,0.00171074628009,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8633460999,0.0,
1475331495459642589,2222,1475331495460289955,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.165125820889,0.186204923075,0.00899291803882,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8695831299,0.0,
1475331495651643684,2223,1475331495660303115,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.148675667869,0.205550347891,0.0431666396154,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8722352982,0.0,
1475331495853542347,2224,1475331495860245943,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.159385426236,0.167107715619,0.0026632173684,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8722314835,0.0,
1475331496054741861,2225,1475331496060265064,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.18408712121,0.218348029883,0.0177871433612,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.870139122,0.0,
1475331496255961286,2226,1475331496260299921,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.166204521426,0.212603826939,-0.019691916576,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8690881729,0.0,
1475331496457220544,2227,1475331496460308074,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.181077164949,0.179144799769,0.0267910966779,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8666534424,0.0,
1475331496658476954,2228,1475331496660980939,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.170091375889,0.202153496388,0.0496678754392,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8626861572,0.0,
1475331496860077593,2229,1475331496860253095,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.195012800066,0.208440943113,-0.0185507534923,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8584899902,0.0,
1475331497061375298,2230,1475331497060365915,dvl,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,-0.205696194515,0.181563743913,-0.0192383618482,0.0,A,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8571681976,0.0,
